address,city,lat,long,name,province
20 Monroe Ave N W,Grand Rapids,42.963573,-85.6728,B.o.b.'s Brewery,MI
12470 Milroy Ln,Conroe,30.340709999999998,-95.55069,B-52 Brewing Co.,TX
6620 S W Fwy Ste 236,Houston,29.7163,-95.5003,Bacchus Wine Storage,TX
614 Norfolk Ave,Virginia Beach,36.83745,-75.98056,Back Bay Brewing,VA
1296 Blue Hills Ave,Bloomfield,41.855003,-72.70475,Back East Brewery,CT
200 N 6th St,Gadsden,34.0154,-86.00563000000001,Back Forty Beer Co,AL
308 Perry St,Laporte,41.61233,-86.72674,Back Road Brewery,IN
150 Ridgemont Rd,Middletown,38.9956,-78.22102,Backroom Brewery,VA
913 Atlantic Ave,Ocean City,38.340275,-75.08053000000001,Backshore Brewing Company,MD
1640 N E Odell Ave,Roseburg,43.214658,-123.33770200000001,Backside Brewing Co,OR
